component,variable,correlation
PC_1,test_rmse,0.9970758976718773
PC_1,cv_rmse_mean,0.9967079553528989
PC_1,cv_mse_mean,0.9678388698694018
PC_1,train_rmse,0.9646659874409996
PC_1,test_mse,0.9611792862983348
PC_1,test_mape,0.9430892438446001
PC_1,cv_mae_mean,0.9378908485209027
PC_1,test_mae,0.9288127014372639
PC_1,train_mae,0.9160086691165418
PC_1,train_mse,0.915224610449704
PC_1,test_median_absolute_error,0.9111547339858513
PC_2,rmse_diff_train_test,0.9305391283307011
PC_2,r2_diff_train_test,-0.9219810445015872
